Starting MP TCP :: Client
0 :: DSS :: 000000001
0 :: DSN :: 0123
1 :: DSS :: 000100042
1 :: DSN :: 4567
2 :: DSS :: 000200083
2 :: DSN :: 89ab
3 :: DSS :: 0003000C1
3 :: DSN :: cdef
4 :: DSS :: 000400102
4 :: DSN :: ghij
5 :: DSS :: 000500143
5 :: DSN :: klmn
6 :: DSS :: 000600181
6 :: DSN :: opqr
7 :: DSS :: 0007001C2
7 :: DSN :: stuv
8 :: DSS :: 000800203
8 :: DSN :: wxyz
9 :: DSS :: 000900241
9 :: DSN :: ABCD
10 :: DSS :: 000A00282
10 :: DSN :: EFGH
11 :: DSS :: 000B002C3
11 :: DSN :: IJKL
12 :: DSS :: 000C00301
12 :: DSN :: MNOP
13 :: DSS :: 000D00342
13 :: DSN :: QRST
14 :: DSS :: 000E00383
14 :: DSN :: UVWX
15 :: DSS :: 000F003C1
15 :: DSN :: YZ01
16 :: DSS :: 001000402
16 :: DSN :: 2345
17 :: DSS :: 001100443
17 :: DSN :: 6789
18 :: DSS :: 001200481
18 :: DSN :: abcd
19 :: DSS :: 0013004C2
19 :: DSN :: efgh
20 :: DSS :: 001400503
20 :: DSN :: ijkl
21 :: DSS :: 001500541
21 :: DSN :: mnop
22 :: DSS :: 001600582
22 :: DSN :: qrst
23 :: DSS :: 0017005C3
23 :: DSN :: uvwx
24 :: DSS :: 001800601
24 :: DSN :: yzAB
25 :: DSS :: 001900642
25 :: DSN :: CDEF
26 :: DSS :: 001A00683
26 :: DSN :: GHIJ
27 :: DSS :: 001B006C1
27 :: DSN :: KLMN
28 :: DSS :: 001C00702
28 :: DSN :: OPQR
29 :: DSS :: 001D00743
29 :: DSN :: STUV
30 :: DSS :: 001E00781
30 :: DSN :: WXYZ
31 :: DSS :: 001F007C2
31 :: DSN :: 0123
32 :: DSS :: 002000803
32 :: DSN :: 4567
33 :: DSS :: 002100841
33 :: DSN :: 89ab
34 :: DSS :: 002200882
34 :: DSN :: cdef
35 :: DSS :: 0023008C3
35 :: DSN :: ghij
36 :: DSS :: 002400901
36 :: DSN :: klmn
37 :: DSS :: 002500942
37 :: DSN :: opqr
38 :: DSS :: 002600983
38 :: DSN :: stuv
39 :: DSS :: 0027009C1
39 :: DSN :: wxyz
40 :: DSS :: 002800A02
40 :: DSN :: ABCD
41 :: DSS :: 002900A43
41 :: DSN :: EFGH
42 :: DSS :: 002A00A81
42 :: DSN :: IJKL
43 :: DSS :: 002B00AC2
43 :: DSN :: MNOP
44 :: DSS :: 002C00B03
44 :: DSN :: QRST
45 :: DSS :: 002D00B41
45 :: DSN :: UVWX
46 :: DSS :: 002E00B82
46 :: DSN :: YZ01
47 :: DSS :: 002F00BC3
47 :: DSN :: 2345
48 :: DSS :: 003000C01
48 :: DSN :: 6789
49 :: DSS :: 003100C42
49 :: DSN :: abcd
50 :: DSS :: 003200C83
50 :: DSN :: efgh
51 :: DSS :: 003300CC1
51 :: DSN :: ijkl
52 :: DSS :: 003400D02
52 :: DSN :: mnop
53 :: DSS :: 003500D43
53 :: DSN :: qrst
54 :: DSS :: 003600D81
54 :: DSN :: uvwx
55 :: DSS :: 003700DC2
55 :: DSN :: yzAB
56 :: DSS :: 003800E03
56 :: DSN :: CDEF
57 :: DSS :: 003900E41
57 :: DSN :: GHIJ
58 :: DSS :: 003A00E82
58 :: DSN :: KLMN
59 :: DSS :: 003B00EC3
59 :: DSN :: OPQR
60 :: DSS :: 003C00F01
60 :: DSN :: STUV
61 :: DSS :: 003D00F42
61 :: DSN :: WXYZ
62 :: DSS :: 003E00F83
62 :: DSN :: 0123
63 :: DSS :: 003F00FC1
63 :: DSN :: 4567
64 :: DSS :: 004001002
64 :: DSN :: 89ab
65 :: DSS :: 004101043
65 :: DSN :: cdef
66 :: DSS :: 004201081
66 :: DSN :: ghij
67 :: DSS :: 0043010C2
67 :: DSN :: klmn
68 :: DSS :: 004401103
68 :: DSN :: opqr
69 :: DSS :: 004501141
69 :: DSN :: stuv
70 :: DSS :: 004601182
70 :: DSN :: wxyz
71 :: DSS :: 0047011C3
71 :: DSN :: ABCD
72 :: DSS :: 004801201
72 :: DSN :: EFGH
73 :: DSS :: 004901242
73 :: DSN :: IJKL
74 :: DSS :: 004A01283
74 :: DSN :: MNOP
75 :: DSS :: 004B012C1
75 :: DSN :: QRST
76 :: DSS :: 004C01302
